Mass,Coupling,Number of Events
0.01,1e-08,3.480709867126204e-08
0.01,1.2589254117941661e-08,8.742894478639885e-08
0.01,1.584893192461111e-08,2.1960149275186175e-07
0.01,1.9952623149688747e-08,5.51573857716879e-07
0.01,2.5118864315095718e-08,1.3853310799288767e-06
0.01,3.1622776601683666e-08,3.4791583817660407e-06
0.01,3.981071705534953e-08,8.736720508092627e-06
0.01,5.011872336272694e-08,2.1935586667521433e-05
0.01,6.309573444801891e-08,5.5059703642763924e-05
0.01,7.943282347242757e-08,0.00013814487890214728
0.01,9.999999999999919e-08,0.0003463743568652521
0.01,1.2589254117941558e-07,0.0008675609124892183
0.01,1.584893192461098e-07,0.0021693896434336027
0.01,1.9952623149688583e-07,0.005410743453709263
0.01,2.5118864315095516e-07,0.013441476114058494
0.01,3.1622776601683405e-07,0.033189337970711524
0.01,3.9810717055349205e-07,0.08120946357959315
0.01,5.011872336272653e-07,0.19610755020335635
0.01,6.30957344480184e-07,0.4649677575899521
0.01,7.943282347242692e-07,1.076105418268931
0.01,9.999999999999836e-07,2.4169690473271497
0.01,1.2589254117941456e-06,5.24235399913066
0.01,1.5848931924610849e-06,10.942736155228513
0.01,1.995262314968842e-06,21.94722749531162
0.01,2.5118864315095306e-06,42.30197117724241
0.01,3.162277660168315e-06,78.46466797767587
0.01,3.981071705534888e-06,140.3385462146926
0.01,5.011872336272612e-06,242.55313524786425
0.01,6.309573444801788e-06,406.50545201340196
0.01,7.943282347242627e-06,665.2432188925492
0.01,9.999999999999755e-06,1072.440386516433
0.01,1.2589254117941353e-05,1714.4156680575259
0.01,1.584893192461072e-05,2728.4480431631987
0.01,1.9952623149688258e-05,4332.775019457928
0.01,2.5118864315095104e-05,6873.781443328255
0.01,3.162277660168289e-05,10900.267990846203
0.01,3.981071705534855e-05,17281.54973155668
0.01,5.011872336272571e-05,27395.03229514513
0.01,6.309573444801737e-05,43423.53311914067
0.01,7.943282347242562e-05,68826.49530286128
0.01,9.999999999999673e-05,109086.77276875658
0.01,0.0001258925411794125,172894.07100813193
0.01,0.00015848931924610592,274020.6282810447
0.01,0.00019952623149688094,434294.29204303527
0.01,0.00025118864315094896,688310.2770962232
0.01,0.0003162277660168263,1090898.292340418
0.01,0.0003981071705534823,1728957.2776085723
0.01,0.000501187233627253,2740212.619338697
0.01,0.0006309573444801685,4342944.32628593
0.01,0.0007943282347242497,6883102.897968178
0.015,1e-08,2.2597281175282828e-08
0.015,1.2589254117941661e-08,5.67596059188978e-08
0.015,1.584893192461111e-08,1.4256493434889012e-07
0.015,1.9952623149688747e-08,3.5807209762647813e-07
0.015,2.5118864315095718e-08,8.992978360387255e-07
0.015,3.1622776601683666e-08,2.2583824755572057e-06
0.015,3.981071705534953e-08,5.670606084861158e-06
0.015,5.011872336272694e-08,1.4235193082481612e-05
0.015,6.309573444801891e-08,3.572251434329449e-05
0.015,7.943282347242757e-08,8.959325189883128e-05
0.015,9.999999999999919e-08,0.00022450255343643965
0.015,1.2589254117941558e-07,0.0005617685649778611
0.015,1.584893192461098e-07,0.001402610074519827
0.015,1.9952623149688583e-07,0.0034899943145467313
0.015,2.5118864315095516e-07,0.00863789091595243
0.015,3.1622776601683405e-07,0.021207064336351177
0.015,3.9810717055349205e-07,0.051442633891093735
0.015,5.011872336272653e-07,0.12263732399975343
0.015,6.30957344480184e-07,0.28545528432982875
0.015,7.943282347242692e-07,0.6441989393761656
0.015,9.999999999999836e-07,1.4007885752152718
0.015,1.2589254117941456e-06,2.922845055479909
0.015,1.5848931924610849e-06,5.8435494358693045
0.015,1.995262314968842e-06,11.204205279797394
0.015,2.5118864315095306e-06,20.655960036908706
0.015,3.162277660168315e-06,36.74908985069738
0.015,3.981071705534888e-06,63.36593722751287
0.015,5.011872336272612e-06,106.39559294683457
0.015,6.309573444801788e-06,174.83078864530498
0.015,7.943282347242627e-06,282.71400738158115
0.015,9.999999999999755e-06,452.58864617428884
0.015,1.2589254117941353e-05,720.7720955034147
