mass,small angle photon ratio,small open angle rate,efficiency rate
0.002,0.02626839949240458,0.6796514607893388,0.017853356087610697
0.0024,0.035409951356736795,0.6822244289970208,0.024157533845162046
0.0028,0.04467607539279895,0.6828237144823518,0.03050588374820457
0.0033,0.056519300494781745,0.6939571150097467,0.03922197071372769
0.004,0.07315733461498848,0.68833098701705,0.05035646034307162
0.0047,0.09177739288739428,0.6937805633996831,0.06367337134477048
0.0056,0.11468022207801572,0.701477522791575,0.08044559809647416
0.0066,0.1482126658692633,0.7228511076206466,0.10713568968700579
0.0079,0.19840661326000936,0.7306445165015768,0.1449647040160749
0.0094,0.25638276947285604,0.7513138210134642,0.19262391817466562
0.0111,0.3334729201563372,0.7562937272020571,0.2522034777059903
0.0132,0.42399151184804545,0.7708047105004907,0.32681465454469805
0.0157,0.5232155088316487,0.7840764836559821,0.4102409763589946
0.0186,0.6207632824221905,0.7930649809426421,0.4923056207440465
0.0221,0.7128524461280062,0.7943251745184293,0.5662366436765178
0.0262,0.7814856140910177,0.7962428482555353,0.622252331234558
0.0312,0.8414693519299473,0.7904558567074662,0.6651443774728628
0.037,0.8840214613586541,0.7857338575988819,0.6946055930335363
0.0439,0.9138183837822826,0.7750846334777827,0.7082865870591503
0.0521,0.9357098055613632,0.7573396680170988,0.7086501535041869
0.0619,0.9509512085290042,0.735194273274049,0.6991338826735598
0.0735,0.9642060335629061,0.7061224489795919,0.6808475257403378
0.0872,0.9742204692903483,0.6728469308925201,0.6555012527746815
0.1036,0.9826516580857664,0.6291065297687815,0.6181925745898756
0.123,0.9907413951516008,0.5805393066057926,0.5751643225669658
0.146,0.9951856946354883,0.5211932734392997,0.5186840898670335
0.1733,1.0,0.4484396200814111,0.4484396200814111
0.2057,1.0,0.4435483870967742,0.4435483870967742
